,Unnamed: 0,States,Years,Quarter,Districts,Transaction_count,Transaction_amount,latitude,longitude
101,101,Andhra Pradesh,2018,3,anantapur district,1815215,2681790000.0,15.9240905,80.1863809
102,102,Andhra Pradesh,2018,3,ysr district,1557444,2235900000.0,15.9240905,80.1863809
103,103,Andhra Pradesh,2018,3,west godavari district,1431282,2309080000.0,15.9240905,80.1863809
104,104,Andhra Pradesh,2018,3,kurnool district,2921189,2908390000.0,15.9240905,80.1863809
105,105,Andhra Pradesh,2018,3,chittoor district,2297429,3283520000.0,15.9240905,80.1863809
106,106,Andhra Pradesh,2018,3,guntur district,1912529,3127760000.0,15.9240905,80.1863809
107,107,Andhra Pradesh,2018,3,krishna district,2396934,3754200000.0,15.9240905,80.1863809
108,108,Andhra Pradesh,2018,4,east godavari district,3052762,4652620000.0,15.9240905,80.1863809
109,109,Andhra Pradesh,2018,4,srikakulam district,1252807,1870280000.0,15.9240905,80.1863809
110,110,Andhra Pradesh,2018,4,spsr nellore district,1814997,3293450000.0,15.9240905,80.1863809
111,111,Andhra Pradesh,2018,4,vizianagaram district,1386787,1817670000.0,15.9240905,80.1863809
112,112,Andhra Pradesh,2018,4,visakhapatnam district,4791421,7366640000.0,15.9240905,80.1863809
113,113,Andhra Pradesh,2018,4,prakasam district,1692862,3255250000.0,15.9240905,80.1863809
114,114,Andhra Pradesh,2018,4,anantapur district,2286391,3975880000.0,15.9240905,80.1863809
115,115,Andhra Pradesh,2018,4,ysr district,1732527,3252340000.0,15.9240905,80.1863809
116,116,Andhra Pradesh,2018,4,west godavari district,1688482,3237500000.0,15.9240905,80.1863809
117,117,Andhra Pradesh,2018,4,kurnool district,2508530,3626540000.0,15.9240905,80.1863809
118,118,Andhra Pradesh,2018,4,chittoor district,3166201,4979090000.0,15.9240905,80.1863809
119,119,Andhra Pradesh,2018,4,guntur district,2546620,4730250000.0,15.9240905,80.1863809
120,120,Andhra Pradesh,2018,4,krishna district,2839161,5416250000.0,15.9240905,80.1863809
121,121,Andhra Pradesh,2019,1,east godavari district,5440146,7382260000.0,15.9240905,80.1863809
122,122,Andhra Pradesh,2019,1,srikakulam district,2526855,3407910000.0,15.9240905,80.1863809
123,123,Andhra Pradesh,2019,1,spsr nellore district,3333584,5161930000.0,15.9240905,80.1863809
124,124,Andhra Pradesh,2019,1,vizianagaram district,2798241,3364580000.0,15.9240905,80.1863809
125,125,Andhra Pradesh,2019,1,visakhapatnam district,9690866,13459900000.0,15.9240905,80.1863809
126,126,Andhra Pradesh,2019,1,prakasam district,2931081,4807530000.0,15.9240905,80.1863809
127,127,Andhra Pradesh,2019,1,anantapur district,3891336,6044730000.0,15.9240905,80.1863809
128,128,Andhra Pradesh,2019,1,ysr district,2852197,4915810000.0,15.9240905,80.1863809
129,129,Andhra Pradesh,2019,1,west godavari district,2829437,4623760000.0,15.9240905,80.1863809
130,130,Andhra Pradesh,2019,1,kurnool district,4193432,5541560000.0,15.9240905,80.1863809
131,131,Andhra Pradesh,2019,1,chittoor district,6486813,8223370000.0,15.9240905,80.1863809
132,132,Andhra Pradesh,2019,1,guntur district,4846553,7765930000.0,15.9240905,80.1863809
133,133,Andhra Pradesh,2019,1,krishna district,5443981,9061350000.0,15.9240905,80.1863809
134,134,Andhra Pradesh,2019,2,east godavari district,4699261,9116400000.0,15.9240905,80.1863809
135,135,Andhra Pradesh,2019,2,srikakulam district,2019203,4066580000.0,15.9240905,80.1863809
136,136,Andhra Pradesh,2019,2,spsr nellore district,3141891,6880870000.0,15.9240905,80.1863809
